NFLX, 53.24, 53.24, 53.24, 53.88, 52.17, 51.35, 50.28, 52.82, 51.76, 56.92, 61.03, 69.03, 64.19, 60.24, 42.71, 39.45, 37.46, 19.04, 19.74, 17.49, 22.49, 22.36, 23.54, 29.19, 30.55, 29.49, 35.39, 32.21, 34.55, 32.99, 39.52, 44.05, 43.90, 43.37, 37.76, 41.17, 47.40, 48.69, 56.41, 60.29, 60.73, 55.06, 64.16, 67.49, 62.83, 70.14, 70.93, 75.60, 88.68, 89.13, 97.68, 98.06, 93.25, 113.17, 120.72, 133.91, 115.94, 120.82, 119.89, 111.89, 107.58, 94.09, 94.27
ABBV, 84.33, 84.33, 84.33, 89.69, 90.09, 92.82, 95.39, 94.91, 98.00, 102.91, 91.91, 97.70, 99.41, 116.76, 118.05, 128.75, 141.25, 127.98, 129.49, 134.58, 126.10, 119.26, 119.03, 129.85, 144.41, 144.79, 132.38, 139.20, 144.14, 136.68, 125.93, 122.98, 136.53, 135.63, 137.57, 130.30, 132.73, 144.45, 153.24, 165.67, 171.36, 153.05, 153.15, 162.92, 176.02, 188.18, 189.30, 195.42, 176.75, 171.70, 177.69, 203.87, 204.35, 190.29, 183.20, 182.71, 186.06, 208.89, 229.88, 216.48, 227.70, 223.98, 227.65
COST, 333.46, 333.46, 333.46, 313.18, 334.17, 352.76, 359.38, 375.92, 408.27, 433.56, 427.72, 467.87, 514.24, 541.24, 481.59, 495.05, 549.84, 507.71, 445.89, 458.38, 517.70, 500.19, 452.46, 480.46, 517.56, 438.14, 490.58, 464.70, 477.71, 483.82, 491.84, 518.70, 540.18, 529.20, 545.34, 533.25, 572.15, 638.32, 687.26, 735.73, 725.66, 716.02, 803.47, 843.26, 815.49, 886.57, 880.75, 868.49, 965.55, 911.51, 974.79, 1043.17, 941.91, 990.43, 1035.92, 987.17, 937.01, 940.68, 924.32, 910.16, 913.59, 884.48, 868.36
PLTR, 35.18, 35.18, 35.18, 23.90, 23.29, 23.04, 22.95, 26.36, 21.71, 26.34, 24.04, 25.88, 20.65, 18.21, 13.71, 11.85, 13.73, 10.40, 8.68, 9.07, 10.35, 7.72, 8.13, 8.79, 7.50, 6.42, 7.78, 7.84, 8.45, 7.75, 14.71, 15.33, 19.84, 14.98, 16, 14.80, 20.05, 17.17, 16.09, 25.08, 23.01, 21.97, 21.68, 25.33, 26.89, 31.48, 37.20, 41.56, 67.08, 75.63, 82.49, 84.92, 84.40, 118.44, 131.78, 136.32, 158.35, 156.71, 182.42, 200.47, 168.45, 187.54, 185.28
BAC, 26.28, 26.28, 26.28, 30.76, 34.29, 36.10, 37.75, 36.72, 34.31, 37.34, 37.97, 42.95, 39.98, 40.00, 41.68, 39.93, 37.23, 32.39, 33.77, 28.26, 30.87, 30.68, 27.57, 33.12, 34.78, 30.44, 32.80, 31.70, 26.44, 27.24, 25.85, 26.69, 30.01, 26.89, 25.89, 24.91, 28.83, 32.09, 32.42, 32.90, 36.40, 35.52, 38.38, 38.17, 38.93, 39.35, 38.32, 40.65, 46.18, 42.72, 45.25, 45.06, 40.79, 39.22, 43.40, 46.54, 46.77, 50.20, 51.04, 53.17, 53.37, 54.28, 55.46
ASML, 510.60, 510.60, 510.60, 542.08, 590.13, 619.52, 645.68, 662.28, 735.05, 798.61, 714.31, 779.28, 758.79, 765.21, 650.89, 640.61, 641.98, 541.86, 553.90, 460.53, 555.91, 474.14, 402.92, 458.28, 589.92, 531.64, 642.99, 601.05, 663.76, 621.00, 704.93, 708.77, 700.62, 645.97, 576.97, 586.92, 670.18, 743.78, 854.73, 935.17, 955.30, 858.83, 947.30, 1008.83, 923.97, 893.24, 823.45, 664.64, 680.11, 686.52, 732.31, 702.37, 657.75, 663.16, 733.60, 797.95, 691.73, 741.30, 966.38, 1057.35, 1060, 1122.84, 1086.02
BABA, 241.06, 241.06, 241.06, 225.80, 215.32, 219.33, 203.20, 215.37, 185.37, 158.59, 140.60, 156.64, 121.11, 112.81, 119.46, 99.90, 103.33, 92.21, 91.22, 107.96, 84.87, 90.61, 75.97, 60.38, 83.16, 83.66, 104.66, 83.37, 97.04, 80.43, 75.55, 79.16, 97.02, 88.23, 82.38, 78.39, 71.11, 73.61, 69.46, 71.25, 69.64, 72.04, 75.40, 69.30, 77.54, 81.95, 104.36, 96.35, 85.92, 83.38, 97.20, 130.31, 130.03, 117.44, 111.95, 111.53, 120.63, 135, 178.73, 170.43, 157.30, 156.90, 150.86
HD, 239.77, 239.77, 239.77, 228.72, 270.25, 288.35, 284.11, 284.09, 293.91, 292.11, 293.97, 334.60, 360.59, 373.55, 331.69, 285.46, 270.54, 273.15, 275.28, 249.39, 275.37, 263.91, 254.14, 272.73, 298.39, 292.66, 300.36, 274.76, 273.45, 280.49, 264.54, 292.00, 313.81, 310.48, 285.84, 269.32, 296.56, 330.04, 336.14, 362.47, 365.32, 320.20, 320.82, 332.09, 355.17, 355.49, 393.27, 382.16, 416.50, 379.53, 401.96, 386.95, 357.58, 353.95, 361.61, 359.99, 363.09, 401.88, 400.32, 377.15, 354.63, 355.16, 359.36
PG, 113.13, 113.13, 113.13, 109.66, 120.23, 118.44, 120.48, 120.55, 127.07, 128.01, 125.68, 128.55, 130.79, 147.97, 145.14, 141.78, 138.97, 146.02, 135.25, 131.51, 127.05, 126.98, 116.22, 123.97, 138.28, 140.51, 131.99, 128.33, 138.71, 145.88, 133.77, 142.44, 146.72, 145.79, 137.78, 141.72, 145.94, 139.30, 149.38, 152.04, 155.21, 156.12, 158.41, 158.78, 154.78, 166.15, 167.76, 159.99, 174.65, 163.33, 161.72, 170.40, 167.05, 159.35, 167.56, 157.14, 148.41, 155.95, 152.58, 149.33, 148.16, 140.76, 144.49
AMD, 85.64, 85.64, 85.64, 84.51, 78.50, 81.62, 80.08, 93.93, 106.19, 110.72, 102.90, 120.23, 158.37, 143.90, 114.25, 123.34, 109.34, 85.52, 101.86, 76.47, 94.47, 84.87, 63.36, 60.06, 77.63, 64.77, 75.15, 78.58, 98.01, 89.37, 118.21, 113.91, 114.40, 105.72, 102.82, 98.50, 121.16, 147.41, 167.69, 192.53, 180.49, 158.38, 166.90, 162.21, 144.48, 148.56, 164.08, 144.07, 137.18, 120.79, 115.95, 99.86, 102.74, 97.35, 110.73, 141.90, 176.31, 162.63, 161.79, 256.12, 217.53, 221.43, 211.30
